"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"151","2003_SKT_0348","2003_SKT_0348","FWR","FWR",0,"FWR1"
"152","2003_SKT_0349","2003_SKT_0349","MIG","MIG",0,"FWM1"
"153","2003_SKT_0351","2003_SKT_0351","FWR","FWR",0,"FWR1"
"154","2003_SKT_0352","2003_SKT_0352","MIG","MIG",0,"FWM1"
"155","2003_SKT_0353","2003_SKT_0353","FWR","FWR",0,"FWR1"
"156","2003_SKT_0360","2003_SKT_0360","MIG","MIG",0,"FWM1"
"157","2003_SKT_0361","2003_SKT_0361","MIG","MIG",0,"FWM1"
"158","2003_SKT_0362","2003_SKT_0362","MIG","MIG",0,"FWM1"
"159","2003_SKT_0363","2003_SKT_0363","MIG","MIG",0,"FWM1"
"160","2003_SKT_0365","2003_SKT_0365","MIG","MIG",0,"FWM1"
"161","2003_SKT_0366","2003_SKT_0366","MIG","MIG",0,"FWM1"
"162","2003_SKT_0367","2003_SKT_0367","MIG","MIG",0,"FWM1"
"163","2003_SKT_0371","2003_SKT_0371","MIG","MIG",0,"FWM1"
"164","2004_SKT_0001","2004_SKT_0001","FWR","FWR",0,"FWR1"
"165","2004_SKT_0004","2004_SKT_0004","MIG","MIG",0,"FWM1"
"166","2004_SKT_0005","2004_SKT_0005","MIG","MIG",0,"FWM1"
"167","2004_SKT_0006","2004_SKT_0006","MIG","MIG",0,"FWM2"
"168","2004_SKT_0008","2004_SKT_0008","MIG","MIG",0,"FWM1"
"169","2004_SKT_0012","2004_SKT_0012","MIG","MIG",0,"FWM1"
"170","2004_SKT_0014","2004_SKT_0014","MIG","MIG",0,"FWM1"
"171","2004_SKT_0015","2004_SKT_0015","MIG","MIG",0,"FWM1"
"172","2004_SKT_0016","2004_SKT_0016","BWR","BWR",0,"BWR1"
"173","2004_SKT_0017","2004_SKT_0017","MIG","MIG",0,"FWM1"
"174","2004_SKT_0018","2004_SKT_0018","MIG","MIG",0,"FWM2"
"175","2004_SKT_0019","2004_SKT_0019","MIG","MIG",0,"FWM1"
"176","2004_SKT_0020","2004_SKT_0020","MIG","MIG",0,"FWM1"
"177","2004_SKT_0021","2004_SKT_0021","BWR","BWR",0,"BWR1"
"178","2004_SKT_0022","2004_SKT_0022","MIG","MIG",0,"FWM1"
"179","2004_SKT_0023","2004_SKT_0023","MIG","MIG",0,"FWM1"
"180","2004_SKT_0024","2004_SKT_0024","MIG","MIG",0,"FWM1"
"181","2004_SKT_0025","2004_SKT_0025","MIG","MIG",0,"FWM1"
"182","2004_SKT_0027","2004_SKT_0027","MIG","MIG",0,"FWM1"
"183","2004_SKT_0028","2004_SKT_0028","MIG",NA,1,NA
"184","2004_SKT_0029","2004_SKT_0029","MIG","MIG",0,"FWM2"
"185","2004_SKT_0031","2004_SKT_0031","MIG","MIG",0,"FWM1"
"186","2004_SKT_0034","2004_SKT_0034","MIG","MIG",0,"FWM1"
"187","2004_SKT_0038","2004_SKT_0038","MIG","MIG",0,"FWM1"
"188","2004_SKT_0040","2004_SKT_0040","BWR","BWR",0,"BWR1"
"189","2004_SKT_0043","2004_SKT_0043","MIG","BWR",1,"BWR1"
"190","2004_SKT_0044","2004_SKT_0044","BWR","BWR",0,"BWR1"
"191","2004_SKT_0046","2004_SKT_0046","MIG",NA,1,NA
"192","2004_SKT_0047","2004_SKT_0047","MIG",NA,1,NA
"193","2004_SKT_0051","2004_SKT_0051","MIG","MIG",0,"FWM1"
"194","2004_SKT_0055","2004_SKT_0055","MIG","MIG",0,"FWM1"
"195","2004_SKT_0058","2004_SKT_0058","MIG","MIG",0,"FWM1"
"196","2004_SKT_0059","2004_SKT_0059","BWR","BWR",0,"BWR1"
"197","2004_SKT_0060","2004_SKT_0060","BWR","BWR",0,"BWR1"
"198","2004_SKT_0061","2004_SKT_0061","MIG","MIG",0,"FWM1"
"199","2004_SKT_0063","2004_SKT_0063","MIG","MIG",0,"FWM1"
"200","2004_SKT_0067","2004_SKT_0067","MIG","MIG",0,"FWM1"
"201","2004_SKT_0068","2004_SKT_0068","FWR",NA,1,NA
"202","2004_SKT_0069","2004_SKT_0069","FWR","FWR",0,"FWR1"
"203","2004_SKT_0070","2004_SKT_0070","FWR","FWR",0,"FWR1"
"204","2004_SKT_0071","2004_SKT_0071","MIG","VAR",1,"VAR1"
"205","2004_SKT_0073","2004_SKT_0073","FWR","FWR",0,"FWR1"
"206","2004_SKT_0075","2004_SKT_0075","FWR","FWR",0,"FWR1"
"207","2004_SKT_0076","2004_SKT_0076","MIG","MIG",0,"FWM1"
"208","2004_SKT_0078","2004_SKT_0078","MIG","BWR",1,"BWM1"
"209","2004_SKT_0080","2004_SKT_0080","MIG","MIG",0,"FWM1"
"210","2004_SKT_0082","2004_SKT_0082","MIG","FWR",1,"FWR2"
"211","2004_SKT_0083","2004_SKT_0083","MIG","MIG",0,"FWM1"
"212","2004_SKT_0084","2004_SKT_0084","FWR","FWR",0,"FWR1"
"213","2004_SKT_0086","2004_SKT_0086","MIG","BWR",1,"BWM1"
"214","2004_SKT_0087","2004_SKT_0087","MIG","MIG",0,"FWM1"
"215","2004_SKT_0089","2004_SKT_0089","MIG","BWR",1,"BWM1"
"216","2004_SKT_0090","2004_SKT_0090","MIG","MIG",0,"FWM1"
"217","2004_SKT_0092","2004_SKT_0092","MIG","BWR",1,"BWR1"
"218","2004_SKT_0093","2004_SKT_0093","MIG","BWR",1,"BWR1"
"219","2004_SKT_0094","2004_SKT_0094","MIG","BWR",1,"BWM2"
"220","2004_SKT_0096","2004_SKT_0096","FWR","FWR",0,"FWR1"
"221","2004_SKT_0097","2004_SKT_0097","FWR","FWR",0,"FWR1"
"222","2004_SKT_0100","2004_SKT_0100","FWR","FWR",0,"FWR1"
"223","2004_SKT_0101","2004_SKT_0101","BWR","BWR",0,"BWR1"
"224","2004_SKT_0102","2004_SKT_0102","MIG","MIG",0,"FWM1"
"225","2004_SKT_0103","2004_SKT_0103","MIG","MIG",0,"FWM1"
"226","2004_SKT_0104","2004_SKT_0104","BWR","BWR",0,"BWR1"
"227","2004_SKT_0105","2004_SKT_0105","MIG","BWR",1,"BWM3"
"228","2004_SKT_0106","2004_SKT_0106","MIG","MIG",0,"FWM1"
"229","2004_SKT_0107","2004_SKT_0107","MIG","MIG",0,"FWM1"
"230","2004_SKT_0108","2004_SKT_0108","MIG","MIG",0,"FWM1"
"231","2004_SKT_0110","2004_SKT_0110","MIG","MIG",0,"FWM1"
"232","2004_SKT_0111","2004_SKT_0111","FWR","FWR",0,"FWR1"
"233","2004_SKT_0112","2004_SKT_0112","MIG","MIG",0,"FWM1"
"234","2004_SKT_0113","2004_SKT_0113","MIG","MIG",0,"FWM2"
"235","2005_SKT_0001","2005_SKT_0001","MIG","MIG",0,"FWM1"
"236","2005_SKT_0002","2005_SKT_0002","MIG","MIG",0,"FWM1"
"237","2005_SKT_0003","2005_SKT_0003","MIG","MIG",0,"FWM1"
"238","2005_SKT_0006","2005_SKT_0006","MIG","MIG",0,"FWM1"
"239","2005_SKT_0007","2005_SKT_0007","MIG","MIG",0,"FWM1"
"240","2005_SKT_0008","2005_SKT_0008","MIG","FWR",1,"FWR2"
"241","2005_SKT_0009","2005_SKT_0009","MIG","MIG",0,"FWM2"
"242","2005_SKT_0010","2005_SKT_0010","MIG","MIG",0,"FWM1"
